epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8377,0.25541,0.34966,1.11417,0.99972,0.9993,0.995,0.89719,0.16144,0.17967,1.03623,0.000414931,0.000414931,0.000414931
2,68.4002,0.26644,0.31223,1.11882,0.99943,0.99955,0.995,0.89662,0.16291,0.17688,1.03852,0.000790433,0.000790433,0.000790433
3,95.7,0.27063,0.30602,1.11499,0.99926,0.99965,0.995,0.89909,0.16893,0.18238,1.03706,0.00112469,0.00112469,0.00112469
4,122.942,0.26719,0.30015,1.11589,0.99918,0.99924,0.995,0.89824,0.16053,0.17638,1.03785,0.00106437,0.00106437,0.00106437
5,150.146,0.26269,0.29504,1.11376,0.99923,0.99971,0.99498,0.89942,0.17167,0.17885,1.02547,0.0010025,0.0010025,0.0010025
6,177.288,0.25697,0.2888,1.11381,0.99963,0.99942,0.995,0.89994,0.15866,0.16885,1.03374,0.000940625,0.000940625,0.000940625
7,204.451,0.25631,0.286,1.11353,0.99962,0.99931,0.995,0.90116,0.15275,0.16937,1.04016,0.00087875,0.00087875,0.00087875
8,231.612,0.24929,0.28102,1.11041,0.99951,0.99945,0.995,0.89995,0.14917,0.16605,1.03541,0.000816875,0.000816875,0.000816875
9,258.741,0.24569,0.2759,1.10594,0.99958,0.99957,0.995,0.89919,0.14796,0.15948,1.03616,0.000755,0.000755,0.000755
10,285.883,0.24106,0.27354,1.11122,0.9996,0.99986,0.995,0.89995,0.14201,0.15842,1.03659,0.000693125,0.000693125,0.000693125
11,313.62,0.19267,0.21022,1.06006,0.99937,0.99966,0.995,0.90002,0.14086,0.15819,1.03464,0.00063125,0.00063125,0.00063125
12,340.158,0.18881,0.2086,1.06216,0.99977,0.99974,0.995,0.89921,0.13442,0.15079,1.03478,0.000569375,0.000569375,0.000569375
13,366.889,0.18372,0.20126,1.05963,0.9995,0.99955,0.995,0.90096,0.13499,0.15173,1.03628,0.0005075,0.0005075,0.0005075
14,393.399,0.18152,0.19916,1.06161,0.99967,0.99986,0.995,0.9,0.13798,0.15211,1.02705,0.000445625,0.000445625,0.000445625
15,419.905,0.17866,0.19663,1.05826,0.99961,0.99962,0.995,0.89899,0.12819,0.14416,1.02726,0.00038375,0.00038375,0.00038375
16,446.297,0.17699,0.19337,1.05709,0.9998,0.9999,0.995,0.89979,0.12631,0.14108,1.02807,0.000321875,0.000321875,0.000321875
17,472.683,0.17349,0.19243,1.05662,0.99994,0.99971,0.995,0.89917,0.11969,0.13623,1.02734,0.00026,0.00026,0.00026
18,499.056,0.17027,0.18937,1.0559,0.99953,0.99996,0.995,0.89974,0.1193,0.13622,1.02882,0.000198125,0.000198125,0.000198125
19,525.463,0.16455,0.18462,1.05467,0.9996,1,0.995,0.90094,0.11572,0.13328,1.03201,0.00013625,0.00013625,0.00013625
20,551.785,0.16355,0.18518,1.05708,0.99975,0.99994,0.995,0.90049,0.11392,0.13019,1.02721,7.4375e-05,7.4375e-05,7.4375e-05
