epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1674,0.51112,1.19231,1.16208,0.99811,0.9959,0.99494,0.9888,0.20309,0.27899,0.92718,0.000414931,0.000414931,0.000414931
2,67.1392,0.3332,0.41778,1.04277,0.99868,0.99766,0.995,0.99144,0.17379,0.21271,0.91003,0.000790433,0.000790433,0.000790433
3,93.8604,0.31137,0.36432,1.02862,0.99896,0.99766,0.995,0.99258,0.17055,0.19319,0.9044,0.00112469,0.00112469,0.00112469
4,120.434,0.29211,0.33911,1.02346,0.99852,0.99836,0.99499,0.99311,0.1532,0.1828,0.91012,0.00106437,0.00106437,0.00106437
5,147.053,0.27802,0.31881,1.02263,0.99883,0.99913,0.99499,0.99329,0.15635,0.17409,0.90232,0.0010025,0.0010025,0.0010025
6,173.69,0.26917,0.30503,1.01768,0.99938,0.99872,0.995,0.9939,0.13788,0.16258,0.89385,0.000940625,0.000940625,0.000940625
7,200.355,0.25963,0.29748,1.0109,0.99917,0.99865,0.995,0.99407,0.13324,0.15829,0.88737,0.00087875,0.00087875,0.00087875
8,226.94,0.25088,0.2879,1.0101,0.99964,0.99925,0.995,0.99414,0.12836,0.15219,0.88344,0.000816875,0.000816875,0.000816875
9,253.639,0.24295,0.28144,1.00517,0.99929,0.99957,0.995,0.99417,0.12461,0.14696,0.88314,0.000755,0.000755,0.000755
10,280.361,0.23849,0.27717,1.00564,0.99908,0.99918,0.995,0.99425,0.11848,0.14579,0.88754,0.000693125,0.000693125,0.000693125
11,307.655,0.17831,0.20697,0.94293,0.99911,0.99909,0.995,0.99443,0.11349,0.13966,0.88044,0.00063125,0.00063125,0.00063125
12,333.934,0.17361,0.20278,0.94439,0.99945,0.99917,0.995,0.99438,0.10971,0.13663,0.88901,0.000569375,0.000569375,0.000569375
13,360.107,0.16846,0.19583,0.93994,0.9993,0.99949,0.995,0.9945,0.11266,0.13561,0.88739,0.0005075,0.0005075,0.0005075
14,386.328,0.16479,0.19345,0.93877,0.99982,0.99937,0.995,0.99467,0.10411,0.13261,0.88285,0.000445625,0.000445625,0.000445625
15,412.52,0.15794,0.18773,0.93817,0.99946,0.99932,0.995,0.99461,0.09848,0.12774,0.87978,0.00038375,0.00038375,0.00038375
16,438.654,0.15578,0.18567,0.93509,0.99981,0.99998,0.995,0.99462,0.09578,0.12442,0.8769,0.000321875,0.000321875,0.000321875
17,464.758,0.15265,0.18439,0.93762,0.99955,0.99965,0.995,0.99466,0.09397,0.12309,0.87528,0.00026,0.00026,0.00026
18,490.882,0.14899,0.1801,0.93381,0.99951,0.99962,0.995,0.99468,0.08912,0.11923,0.87609,0.000198125,0.000198125,0.000198125
19,517.118,0.1436,0.17589,0.93338,0.99961,0.99973,0.995,0.99468,0.08858,0.11852,0.87873,0.00013625,0.00013625,0.00013625
20,543.37,0.14071,0.17589,0.93242,0.99988,0.99949,0.995,0.99469,0.08574,0.11569,0.87494,7.4375e-05,7.4375e-05,7.4375e-05
