epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2961,0.61466,1.31407,1.25729,0.99277,0.98799,0.99454,0.97098,0.2698,0.34053,1.02168,0.000414931,0.000414931,0.000414931
2,67.451,0.38219,0.45647,1.10867,0.99715,0.99418,0.99496,0.98548,0.22082,0.25545,1.01637,0.000790433,0.000790433,0.000790433
3,94.3164,0.34874,0.38792,1.08708,0.99874,0.99631,0.99498,0.98707,0.22256,0.23982,0.97992,0.00112469,0.00112469,0.00112469
4,121.068,0.32896,0.35955,1.08173,0.9978,0.99809,0.99493,0.9869,0.20515,0.224,0.99344,0.00106437,0.00106437,0.00106437
5,147.748,0.31131,0.33474,1.0771,0.99884,0.99713,0.99499,0.9917,0.18343,0.20611,0.98119,0.0010025,0.0010025,0.0010025
6,174.563,0.29836,0.32163,1.06979,0.99872,0.99737,0.99499,0.99293,0.15916,0.19028,0.98066,0.000940625,0.000940625,0.000940625
7,201.397,0.28858,0.31232,1.05938,0.99926,0.99836,0.995,0.99367,0.14872,0.18289,0.9691,0.00087875,0.00087875,0.00087875
8,228.184,0.27686,0.30215,1.06077,0.9991,0.99834,0.995,0.99354,0.14973,0.17699,0.97139,0.000816875,0.000816875,0.000816875
9,254.96,0.27029,0.29447,1.05436,0.99878,0.99896,0.995,0.99354,0.14431,0.17256,0.97387,0.000755,0.000755,0.000755
10,281.712,0.26418,0.29015,1.05392,0.99931,0.9988,0.995,0.99378,0.13784,0.17075,0.97883,0.000693125,0.000693125,0.000693125
11,309.085,0.19973,0.22433,0.99869,0.99964,0.99826,0.995,0.99386,0.13359,0.16404,0.97084,0.00063125,0.00063125,0.00063125
12,335.478,0.19622,0.21993,0.99958,0.99858,0.99832,0.995,0.99407,0.12975,0.16008,0.96523,0.000569375,0.000569375,0.000569375
13,361.798,0.18813,0.2127,0.99452,0.99953,0.99864,0.995,0.99408,0.12895,0.15851,0.97473,0.0005075,0.0005075,0.0005075
14,388.082,0.18438,0.20828,0.99469,0.99946,0.99879,0.995,0.99434,0.12361,0.154,0.96222,0.000445625,0.000445625,0.000445625
15,414.45,0.17802,0.20454,0.99308,0.99945,0.99893,0.995,0.99428,0.1143,0.14672,0.96352,0.00038375,0.00038375,0.00038375
16,440.726,0.17638,0.20209,0.98972,0.99933,0.99933,0.995,0.99436,0.11268,0.14481,0.96189,0.000321875,0.000321875,0.000321875
17,467.142,0.17354,0.20037,0.99157,0.99955,0.99892,0.995,0.99443,0.10958,0.14149,0.96167,0.00026,0.00026,0.00026
18,493.482,0.16901,0.1961,0.98942,0.99947,0.99946,0.995,0.99446,0.10765,0.13922,0.96235,0.000198125,0.000198125,0.000198125
19,519.791,0.16242,0.19097,0.98529,0.99958,0.99922,0.995,0.99444,0.10531,0.13777,0.95869,0.00013625,0.00013625,0.00013625
20,546.027,0.15934,0.19056,0.98554,0.99945,0.99952,0.995,0.99454,0.1014,0.13503,0.95795,7.4375e-05,7.4375e-05,7.4375e-05
