epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.307,0.52418,1.19383,1.17085,0.99801,0.99573,0.99494,0.9872,0.23088,0.27882,0.94127,0.000414931,0.000414931,0.000414931
2,67.3542,0.35349,0.42078,1.05253,0.99779,0.99611,0.99499,0.99054,0.21168,0.22592,0.93651,0.000790433,0.000790433,0.000790433
3,94.0556,0.32977,0.36868,1.04064,0.99861,0.99761,0.99499,0.99208,0.20765,0.21232,0.92467,0.00112469,0.00112469,0.00112469
4,120.594,0.31605,0.34563,1.03395,0.99817,0.99866,0.99499,0.99285,0.19075,0.19234,0.92039,0.00106437,0.00106437,0.00106437
5,147.255,0.30344,0.32455,1.03263,0.99867,0.99942,0.995,0.9935,0.17626,0.17867,0.91046,0.0010025,0.0010025,0.0010025
6,173.843,0.29317,0.31065,1.02605,0.99905,0.99871,0.995,0.99359,0.17168,0.17358,0.91208,0.000940625,0.000940625,0.000940625
7,200.529,0.28288,0.306,1.02048,0.9986,0.99953,0.995,0.99342,0.16631,0.17187,0.90828,0.00087875,0.00087875,0.00087875
8,227.128,0.27578,0.29522,1.02017,0.99983,0.99899,0.995,0.99399,0.15895,0.16288,0.90829,0.000816875,0.000816875,0.000816875
9,253.851,0.2675,0.28941,1.01395,0.99957,0.99888,0.995,0.99415,0.15184,0.15995,0.91502,0.000755,0.000755,0.000755
10,280.577,0.26312,0.28488,1.01571,0.99972,0.99924,0.995,0.99407,0.14748,0.15794,0.90397,0.000693125,0.000693125,0.000693125
11,307.837,0.20162,0.21559,0.95289,0.99945,0.99931,0.995,0.99433,0.14533,0.15417,0.90162,0.00063125,0.00063125,0.00063125
12,334.201,0.1959,0.21179,0.95525,0.99984,0.99911,0.995,0.9945,0.14149,0.15312,0.90393,0.000569375,0.000569375,0.000569375
13,360.57,0.19054,0.20571,0.94949,0.99951,0.99956,0.995,0.99442,0.13979,0.15454,0.91816,0.0005075,0.0005075,0.0005075
14,386.858,0.18777,0.20332,0.95271,0.99992,0.99915,0.995,0.99454,0.13719,0.14966,0.89957,0.000445625,0.000445625,0.000445625
15,413.146,0.18231,0.1996,0.949,0.99945,0.99967,0.995,0.99454,0.12741,0.14442,0.90291,0.00038375,0.00038375,0.00038375
16,439.398,0.17937,0.19668,0.94577,0.99969,1,0.995,0.99457,0.12617,0.14432,0.89472,0.000321875,0.000321875,0.000321875
17,465.682,0.17606,0.19646,0.94943,0.99946,0.99986,0.995,0.99465,0.12433,0.14218,0.89531,0.00026,0.00026,0.00026
18,491.969,0.17199,0.19241,0.94705,0.99959,0.99984,0.995,0.99465,0.11687,0.13951,0.89587,0.000198125,0.000198125,0.000198125
19,518.272,0.1662,0.18888,0.94414,0.99971,0.99972,0.995,0.99467,0.11779,0.13902,0.901,0.00013625,0.00013625,0.00013625
20,544.588,0.16309,0.18909,0.94398,0.99986,0.99976,0.995,0.99469,0.1126,0.13724,0.89207,7.4375e-05,7.4375e-05,7.4375e-05
